Date,low_beta_new,momentum_new,quality_new,Equity Momentum,Equity Low Beta,Equity Quality,Commodity Carry,Commodity Curve,Credit Curve,Credit Carry,FX Carry,FX Value,Interest Rate Spread,Interest Rate Curve,Equity Trend,FX Trend,Commodity Trend,Interest Rate Trend,Commodity Volatility Carry,Interest Rate Volatility Carry,Equity Volatility Carry,COT,Merger Arb
02/04/2014,92.01,89.66,81.28,100.64,92.72,104.86,314.0804,227.5094,102.8507,103.2278,271.1708,132.407,106.5771,128.9969,105.4891,230.2392,212.8246,198.8264,311.4937,146.1647,103.16,130.1277,1090.672459
03/04/2014,92.19,89.26,81.34,100.48,92.78,104.87,314.2577,227.6214,102.8657,103.1092,271.1929,132.2785,106.5977,128.9956,105.4664,230.0934,213.4969,198.9044,312.3692,146.2969,103.23,130.1548,1090.519194
04/04/2014,92.28,88.28,81.18,100.09,92.8,104.62,313.8004,227.613,102.8592,103.064,272.5273,132.4505,106.661,129.2282,105.4009,229.0741,213.4209,199.5719,312.9005,147.0518,103.17,130.1685,1088.782509
07/04/2014,92.54,87.44,81.26,99.61,92.96,104.64,312.2818,228.2122,102.862,102.8468,272.5393,132.3484,106.6753,129.1491,104.86,229.4042,214.408,199.9105,313.2688,147.0922,102.94,130.3966,1087.508854
08/04/2014,92.53,86.97,81.23,99.26,93.01,104.87,313.136,228.0365,102.8619,102.8575,273.052,132.628,106.6586,129.1215,104.7706,228.7875,214.3961,199.7354,312.3503,146.7973,103.18,130.4758,1087.157482
09/04/2014,92.52,87.58,81.46,99.55,93.02,104.85,312.8562,228.0514,102.8492,102.9736,271.8765,132.3478,106.6527,129.3791,105.0587,229.6244,215.7051,199.8793,313.2317,146.8431,103.2,130.5411,1089.084347
10/04/2014,92.86,86.79,81.34,99.28,93.18,104.8,310.8827,228.4604,102.8431,103.088,271.9085,132.3524,106.7109,129.352,104.5404,228.7831,215.056,200.477,313.7054,146.1213,102.35,130.5537,1086.842607
11/04/2014,92.95,86.5,81.36,99.05,93.26,104.52,311.9969,228.6485,102.8395,103.0862,271.3059,132.0619,106.7262,129.2675,103.9642,229.0161,215.1009,200.5106,313.99,145.743,102.02,130.6029,1086.75639
14/04/2014,93.01,86.16,81.46,98.91,93.33,104.66,312.5049,228.5948,102.8443,102.9612,271.7094,132.1259,106.7137,129.195,104.0594,229.5269,214.9908,200.4883,313.918,146.0539,102.3,130.5112,1086.737021
15/04/2014,93.35,86.23,81.41,98.98,93.44,104.71,313.7023,228.153,102.7991,102.7362,270.971,131.9432,106.7344,128.9814,103.7781,229.8298,214.6849,200.6435,313.1314,146.1572,102.19,130.3691,1087.094369
16/04/2014,93.39,86.93,81.31,99.28,93.39,104.64,315.1347,227.8493,102.8086,102.7752,271.382,131.8224,106.6752,128.7662,104.4032,230.0891,214.2736,200.2529,313.4649,146.4726,102.29,130.4753,1088.128057
17/04/2014,93.2,87.32,81.34,99.47,93.45,104.59,313.7886,228.1868,102.7826,102.7612,271.2007,131.8505,106.6426,128.6211,104.7087,229.5637,216.3327,199.6543,313.151,145.583,102.7,130.5325,1087.915513
18/04/2014,93.2,87.34,81.35,99.48,93.45,104.6,313.7886,228.1868,102.7826,102.7612,271.2007,131.8505,106.6426,128.6211,104.7397,229.5637,216.3327,199.6543,313.151,145.583,102.7,130.5325,1087.915513
21/04/2014,93.12,87.48,81.39,99.55,93.41,104.59,315.1249,228.1766,102.7826,102.7612,271.2007,131.8505,106.6426,128.6211,104.7855,229.5637,216.5554,199.6543,314.4504,145.8034,102.7,130.535,1089.110009
22/04/2014,92.81,87.67,81.51,99.6,93.36,104.63,311.7392,228.6472,102.7858,102.8641,271.1373,131.7692,106.6343,128.6375,105.3757,229.7305,216.7868,199.4885,314.047,145.8767,102.79,130.5365,1089.809601
23/04/2014,93.12,87.8,81.17,99.81,93.45,104.46,311.3082,228.9864,102.7429,102.8447,270.3962,131.4999,106.6765,128.5592,105.1291,229.8878,216.482,199.7322,314.7109,145.8461,102.83,130.6924,1089.761225
24/04/2014,92.9,87.4,80.99,99.63,93.36,104.27,311.2612,229.2215,102.7298,103.026,271.4056,131.6468,106.6385,128.4787,105.2642,229.6987,215.8979,199.5555,315.4588,145.8613,102.85,130.8006,1089.718653
25/04/2014,93.47,86.74,80.94,99.39,93.62,104.21,310.7603,229.1832,102.7497,102.9924,271.2246,131.4719,106.6807,128.3347,104.6469,229.9524,214.5204,199.7974,315.0657,145.9709,102.62,130.7825,1088.912734
28/04/2014,94.21,86.33,81,99.01,93.88,104.3,311.0329,229.2544,102.7331,102.9496,271.1323,131.719,106.6683,128.4793,104.7957,230.0054,214.4284,199.7223,315.3964,146.0525,102.99,130.8029,1089.183423
29/04/2014,93.91,86.73,80.92,99.08,93.82,104.29,309.9902,229.4591,102.7355,103.0779,272.0847,131.8718,106.6623,128.6574,105.2196,229.7561,215.3349,199.8237,315.6678,146.0886,102.93,130.7389,1089.154739
30/04/2014,94.03,87.03,81,99.31,93.87,104.19,308.4678,229.2743,102.7322,103.1448,271.1686,131.8325,106.6832,128.7525,105.2546,230.2609,215.0378,200.1325,315.5381,146.1275,103.06,130.6819,1090.047373
01/05/2014,93.97,87.39,80.84,99.46,93.77,104.09,308.6769,229.5675,102.7454,103.2132,271.1203,131.8589,106.688,128.6467,105.2487,230.2887,215.2683,200.1563,315.4982,146.034,103.06,130.8941,1090.684536
02/05/2014,93.82,87.53,80.74,99.52,93.76,103.91,309.0922,229.6607,102.7521,103.0815,271.9336,131.8586,106.6552,128.4021,105.2327,230.5502,214.8222,199.8279,315.8353,146.571,103.41,130.9434,1089.890369
05/05/2014,93.9,87.84,80.89,99.62,93.77,103.89,307.0742,229.9384,102.7521,103.0815,271.9336,131.8586,106.6552,128.4021,105.1685,230.5502,214.2965,199.8279,316.6662,146.6896,103.41,130.9838,1091.168967
06/05/2014,94.15,87.75,80.98,99.57,93.85,104.05,306.2474,229.9286,102.7535,102.967,271.1572,131.1913,106.5883,128.3682,104.898,231.2174,213.874,199.3521,317.3453,146.7573,103.54,131.013,1090.11814
07/05/2014,94.68,87.8,80.65,99.61,94.05,103.95,307.4152,230.3409,102.7777,103.0224,271.3145,131.5928,106.6145,128.5545,104.9323,231.0695,214.2163,199.4879,317.0448,146.8554,103.6,131.0834,1090.657083
08/05/2014,94.56,87.55,80.66,99.51,94.13,103.8,308.2764,230.1871,102.7436,103.1513,272.665,132.5269,106.6513,128.7394,105.2146,229.0751,214.264,200.0839,317.4895,146.9769,103.62,131.0933,1089.480004
09/05/2014,94.76,87.66,80.75,99.56,94.22,103.92,310.3793,229.9606,102.7324,103.1361,273.8691,132.7305,106.6347,128.8714,105.0861,227.7977,214.5536,199.8845,318.1008,147.1267,103.94,131.1958,1089.762318
12/05/2014,94.35,87.87,80.66,99.66,94.13,103.98,310.2666,230.4476,102.712,103.3027,273.8523,132.9573,106.59,128.8753,105.5214,228.2897,214.7541,199.6361,318.8727,147.2277,103.88,131.3503,1090.579637
13/05/2014,94.35,87.87,80.53,99.77,94.13,103.93,310.9836,230.4923,102.6293,103.3989,274.8639,133.2774,106.6268,128.8862,105.5753,227.5687,214.597,200.0574,319.0917,147.4173,103.89,131.3129,1090.263136
14/05/2014,94.44,87.61,80.58,99.62,94.17,104,311.5223,230.2929,102.6327,103.3195,275.1505,133.2074,106.6799,128.7911,105.624,227.0321,213.6523,200.6036,319.2093,146.4577,104.02,131.3704,1089.817321
15/05/2014,94.83,87.24,80.75,99.48,94.39,104.2,310.8726,230.508,102.5833,103.2625,275.481,132.9816,106.7327,128.6235,105.1355,227.2764,215.1781,200.9397,319.3376,145.7589,103.86,131.4265,1090.213061
16/05/2014,95.06,87.05,80.8,99.35,94.54,104.15,312.8038,230.5386,102.5799,103.1619,276.0143,133.3049,106.7161,128.6461,105.2839,227.5777,215.0075,200.6552,319.8533,146.2364,104.28,131.5619,1090.62648
19/05/2014,94.82,87.29,80.82,99.5,94.48,104.23,312.6717,230.7856,102.5581,103.103,276.6513,133.3671,106.7357,128.8537,105.3721,227.6493,216.4387,200.7715,320.4245,146.4447,104.47,131.6921,1091.196632
20/05/2014,94.68,87.35,80.9,99.53,94.42,104.09,312.8033,230.9333,102.5321,103.0473,276.1765,133.2363,106.7298,129.0285,105.2101,227.3834,217.0424,200.8047,320.7606,146.4362,104.64,131.8119,1090.672992
